cluster,n_poi,W_c,W_c_mean,centroid_x,centroid_y,W_c_share_pct
0,11,717.5,65.22727272727273,704353.8945252108,5548504.717219496,0.03
1,233,189770.54265065028,814.4658482860527,715226.006681345,5547222.609608431,7.0
2,6,1244.8824503112585,207.48040838520976,725436.7667332162,5551019.69325871,0.05
3,153,116619.73422433519,762.2204851263738,727905.3955878473,5549667.087227916,4.3
4,31,37864.122090508514,1221.42329324221,731009.1850267786,5552293.51273865,1.4
5,113,130876.71537658977,1158.2010210317678,706198.3437321921,5553980.539158176,4.83
6,25,2279.87498125002,91.1949992500008,726754.9138785282,5553087.834686044,0.08
7,61,119409.84967191528,1957.5385192117258,720605.7366948297,5565402.757995468,4.4
8,366,913158.0234514337,2494.96727718971,721124.1010174397,5543620.0364530645,33.68
9,5,885.8610885580897,177.17221771161795,726336.4304070554,5561540.8559706155,0.03
10,8,600.0,75.0,724942.4229951471,5557289.790724853,0.02
11,7,825.0,117.85714285714286,718738.3446656101,5565047.053788324,0.03
12,54,41407.36169979554,766.8029944406582,730409.9075180253,5554225.776996579,1.53
13,356,420034.76015400817,1179.8729217809218,723653.2308846073,5562498.349595109,15.49
14,74,97916.0188458013,1323.1894438621798,714604.753741589,5557372.521792963,3.61
15,13,17769.067352244347,1366.8513347880266,713071.1564088205,5561199.019662082,0.66
16,47,31045.925872372027,660.5516143057878,709740.7773481429,5540614.732499254,1.15
17,124,69044.16302899302,556.8077663628469,709870.357170808,5559403.423409532,2.55
18,9,435.54792353947926,48.394213726608804,723187.8215743811,5550089.272276643,0.02
19,8,74713.26011973951,9339.157514967439,721606.4734297559,5551271.985559105,2.76
20,52,62607.982230181595,1203.999658272723,721384.4179715124,5554871.46952317,2.31
21,48,54468.787465279616,1134.7664055266587,712914.9236804936,5552086.2148445705,2.01
22,35,5853.991528611444,167.2569008174698,720215.3355551859,5558050.238563535,0.22
23,44,27313.52648344217,620.7619655327766,723588.1096133288,5551744.603944738,1.01
24,6,1228.6063552795908,204.76772587993182,726198.2071426036,5558155.65739393,0.05
25,8,975.0,121.875,701576.6952681051,5553396.543570118,0.04
26,9,4493.757200202718,499.3063555780798,716337.7595114887,5543048.154328357,0.17
27,54,8802.990577446017,163.0183440267781,714134.6331318909,5543001.745701402,0.32
28,9,1482.2825670742895,164.6980630082544,704592.6136634194,5551886.023591528,0.05
29,12,7439.811012990668,619.9842510825557,715342.2305250358,5559160.378447908,0.27
30,37,73841.71532818586,1995.7220358969153,711030.330608627,5544413.712276176,2.72
31,10,1257.7529156757519,125.77529156757518,717393.261039292,5565365.474478582,0.05
32,5,375.0,75.0,716154.0146682889,5542219.047339225,0.01
33,6,450.0,75.0,702328.192117601,5550711.868142639,0.02
34,8,1365.0,170.625,710037.991159495,5545684.3786420375,0.05
35,18,1184.730247050058,65.81834705833656,728749.4980937694,5548440.104422276,0.04
36,6,945.4381993599236,157.57303322665393,705674.1997361319,5546168.122885571,0.03
37,13,14548.921456682507,1119.1478043601928,712827.9178930352,5545822.442012534,0.54
38,37,20068.261539559884,542.3854470151321,716113.8883698767,5544894.594670842,0.74
39,13,4641.31268459859,357.02405266143,728005.8097842042,5547151.437297631,0.17
40,12,6790.035725288442,565.8363104407035,708908.6479559671,5552698.193515078,0.25
41,11,2096.652314408124,190.604755855284,706565.9929657796,5551637.9875029335,0.08
42,6,380.0,63.333333333333336,704328.810063809,5556632.170482275,0.01
43,9,26085.763675913913,2898.418186212657,717309.8701843009,5548521.877928302,0.96
44,25,18104.89858486176,724.1959433944704,725407.0903767729,5545179.271080072,0.67
45,5,450.0,90.0,726596.015904484,5555040.362108457,0.02
46,7,4166.3621092001795,595.1945870285971,724124.3015527447,5544414.710785138,0.15
47,9,38488.17427351959,4276.463808168843,726175.30955453,5547000.499505681,1.42
48,7,2891.0599388499,413.0085626928429,718609.845207149,5551197.994320789,0.11
49,5,375.0,75.0,730835.0195647946,5549419.259458614,0.01
50,6,1466.8115357798665,244.4685892966444,718015.5532521057,5559878.966355045,0.05
51,5,303.75387600476733,60.75077520095347,717277.7288736118,5542934.48965405,0.01
52,4,300.0,75.0,724712.2683182008,5551429.7917308705,0.01
53,6,1238.2049454370513,206.36749090617522,703689.0850149002,5554661.059195943,0.05
54,7,525.0,75.0,706768.8374935145,5544686.540599419,0.02
55,10,2806.4942205551315,280.6494220555131,727367.0299035946,5563166.478350854,0.1
56,5,4587.408001920901,917.4816003841803,717169.763715966,5556260.290357691,0.17
57,10,750.0,75.0,707640.61332648,5556528.575711792,0.03
58,6,450.0,75.0,705406.5533080306,5545253.07450743,0.02
59,5,375.0,75.0,702335.9642467771,5551930.964547231,0.01
60,9,675.0,75.0,716700.5845342478,5563486.516250832,0.02
61,10,22834.318855556776,2283.4318855556776,732466.2878605687,5553151.842594295,0.84
62,7,5981.444885431823,854.4921264902605,726367.1979057848,5560792.814254741,0.22
63,5,8944.503430442477,1788.9006860884954,718332.9873444117,5556885.863347393,0.33
