cluster,n_poi,W_c,W_c_mean,centroid_x,centroid_y,W_c_share_pct
0,56,77908.50974056378,1391.2233882243531,712703.7768059466,5552222.671468555,3.39
1,83,107390.20820978258,1293.8579302383444,714621.7135332602,5557375.08170855,4.67
2,115,131026.71537658977,1139.3627424051283,706200.9426837194,5554018.791665753,5.7
3,132,71334.63872357637,540.4139297240635,709818.3249376486,5559299.871371175,3.1
4,54,111778.42547869304,2069.9708421980195,720615.3826591216,5565233.051570873,4.86
5,351,427174.0962781226,1217.0202173165887,723675.8781176318,5562407.981545054,18.57
6,301,241721.0643067716,803.0600143082113,715285.2863624477,5546617.131213451,10.51
7,355,909121.985770731,2560.907002171073,721079.122452744,5543530.530445637,39.52
8,80,57261.24354075496,715.765544259437,730588.3848753525,5553786.628431099,2.49
9,183,132842.34605991378,725.9144593437911,727924.12078728,5549494.427437599,5.78
10,59,32591.953930640477,552.4059988244148,723735.550808622,5551748.194207546,1.42
